Prezime,Ime,OIB,MBG,OI,Adresa,Mjesto,Pbroj,Adr_rac,Tel,Mob,Mail,OMM,TM,OMM_adresa,OMM_Pbroj,OMM_mjesto,PROIZVOD,Dana,Agent
Stojanović,Ana,76809497424,7089655840634,286364593,Kožarska 40,Lučko,10250,,,+385997611336,Ana.Stojanovic@yahoo.com,4947672478,BIJELI,,,,IDEAL,4/4/2017,001
Jozić,Jakov,99081958155,,,Ulica Ivana Trnskog 38,Zagreb-Dubrava,10040,"Frankopanska 93, 10360 Sesvete",+3851932746,+385911481670,,9136752749,CRVENI,,,,IDEAL,4/7/2017,002
Knežević,Jakov,34564506950,3139288545843,316264108,Heinzelova 33,Kašina,10362,"Ive Paraća 58, 10010 Zagreb-Sloboština",+3851287891,,Jakov.Knezevic@gmail.com,6645989533,PLAVI,,,,IDEAL,1/5/2017,005
Car,Mia,83813897002,1320308015927,834364088,Jurjevska 25,Donji Dragonožec,10253,"Nodilova 18, 10360 Sesvete",,+38591547459,Mia.Car@yahoo.com,8090909363,BIJELI,,,,BONUS,1/6/2017,005
Galić,Petar,72073264663,,567564329,Kurelčeva 51,Kašina,10362,,+3851584414,,,7143221843,BIJELI,Heinzelova 77,10000,Zagreb,BONUS,1/28/2017,005
Vidović,Marta,97723451242,9683522462321,,Barčićeva 71,Kašina,10362,,+3851981937,+385912265605,Marta.Vidovic@yahoo.com,9689632323,PLAVI,,,,IDEAL,1/18/2017,002
Dujmović,Ana,03449534135,,273900503,Martićeva 88,Belovar,10363,,,+385997184487,,8421696298,BIJELI,,,,IDEAL,3/23/2017,001
Popović,Petar,64789077595,8017554665785,,Vladimira Stahuljaka 27,Zaprešić,10290,,+3851295726,+385918943473,,2747341693,BIJELI,,,,IDEAL,4/6/2017,004
Jovanović,Matej,83435096743,,,Bogišićeva 49,Sesvete-Kraljevec,10361,"Borisa Ulricha 93, 10361 Sesvete-Kraljevec",,+385995554734,,4178011628,PLAVI,Runjaninova 18,10290,Zaprešić,IDEAL,2/27/2017,002
Šarić,Iva,69611852711,,,Rooseveltov trg 96,Donji Dragonožec,10253,"Lopašićeva 12, 10360 Sesvete",+3851791783,,,7167398783,BIJELI,,,,IDEAL,3/13/2017,005
Brkić,Mia,58801811757,4579253796762,,Bogišićeva 38,Zaprešić,10290,"Ulica Izidora Kršnjavog 34, 10360 Sesvete",,+385998168887,,4901197385,BIJELI,,,,IDEAL,1/20/2017,002
Nikolić,Ivano,07715628289,1399064670745,,Palmotićeva 60,Zaprešić,10290,"Zavojna 16, 10362 Kašina",,+385913621329,Ivano.Nikolic@gmail.com,1115440124,BIJELI,,,,IDEAL,1/13/2017,001
Đurić,Filip,62847419390,6984546733046,,Kožarska 53,Brezovica,10257,"Kvaternikov trg 28, 10362 Kašina",,+385993342971,,1447781597,BIJELI,,,,IDEAL,3/4/2017,003
Jurković,Lucija,15445022648,3072695479436,561865858,Rakovčeva 16,Belovar,10363,,,+385912157842,Lucija.Jurkovic@gmail.com,8400182993,BIJELI,Kumičićeva 48,10363,Belovar,IDEAL,3/14/2017,002
Car,Mia,03841144917,3708351564713,837801545,Trg maršala Tita 22,Brezovica,10257,"Dolac 99, 10253 Donji Dragonožec",+3851372163,+385917776332,,8653437886,BIJELI,,,,IDEAL,4/5/2017,002
Car,Ana,85726979140,3505203826337,960645481,Heinzelova 44,Sesvete-Kraljevec,10361,,,+38591827808,Ana.Car@gmail.com,2125632859,BIJELI,,,,IDEAL,2/11/2017,002
Horvatić,Lana,38165356744,,,Laginjina 75,Belovar,10363,,,+385912408722,Lana.Horvatic@hotmail.com,1038178907,BIJELI,,,,BONUS,4/22/2017,004
Jurković,David,10224686505,,575794066,Rudolfa Matza 1,Kašina,10362,,+3851837176,,David.Jurkovic@yahoo.com,6474772320,PLAVI,,,,IDEAL,4/24/2017,003
Špoljarić,Filip,31561309428,,477560675,Vladimira Stahuljaka 10,Zagreb-Novi Zagreb,10020,"Banjavčićeva 92, 10020 Zagreb-Novi Zagreb",+3851590903,,,3270125816,BIJELI,,,,BONUS,2/11/2017,004
Ljubičić,Matej,13286562985,8902126394247,,Ulica kralja Držislava 69,Brezovica,10257,,,+385912462679,,5392620340,BIJELI,,,,IDEAL,3/13/2017,001
Herceg,David,24531888518,,,Borisa Papandopula 84,Zagreb-Novi Zagreb,10020,"Škrlčeva 98, 10253 Donji Dragonožec",+3851837214,,,7171269961,PLAVI,,,,KLASIK,1/18/2017,004
Pranjić,Matej,93774903684,6464943619276,,Jurjevska 44,Belovar,10363,"Runjaninova 96, 10361 Sesvete-Kraljevec",,+385999926174,Matej.Pranjic@yahoo.com,3700202127,BIJELI,,,,IDEAL,2/23/2017,003
Posavec,Petra,26678734324,2536200594559,,Barčićeva 15,Brezovica,10257,"Deželićeva 37, 10361 Sesvete-Kraljevec",,+38599854998,,6887324021,BIJELI,,,,IDEAL,1/24/2017,005
Milić,Marko,30721816813,5450282452801,531080404,Huberta Pettana 43,Sesvete,10360,,+3851379425,+385918614638,,3695163326,PLAVI,,,,BONUS,1/11/2017,004
Herceg,Mia,04949743048,,,Tuškanova 95,Zagreb-Sloboština,10010,,+3851937534,+385917939850,,8888273840,BIJELI,,,,IDEAL,3/23/2017,002
Knežević,Lucija,78535013396,,426381806,Babukićeva 66,Zaprešić,10290,"Amruševa 5, 10362 Kašina",+3851461170,,,2734572556,PLAVI,,,,IDEAL,3/26/2017,004
Mandić,Ivan,73375231534,,,Rokova ulica 100,Kašina,10362,,+3851285680,+385911254345,,2410794136,BIJELI,,,,IDEAL,3/25/2017,004
Antunović,Marko,29203141296,,951727072,Matice hrvatske 55,Ivanja Reka,10373,,+3851173939,,Marko.Antunovic@yahoo.com,9316539781,BIJELI,,,,IDEAL,3/12/2017,004
Babić,Marta,32769368936,9831318844752,,Novakova 54,Belovar,10363,,+3851831557,,,1136541131,BIJELI,,,,IDEAL,3/12/2017,005
Babić,Filip,42538813812,2979601217002,,Ulica Bartola Kašića 60,Ivanja Reka,10373,,,+385991107967,Filip.Babic@yahoo.com,9816744253,BIJELI,,,,BONUS,1/31/2017,003
Jelić,Nika,10342526872,7020299223950,269530686,Bogišićeva 87,Belovar,10363,,+3851489819,+385914668432,Nika.Jelic@gmail.com,4841722093,BIJELI,,,,IDEAL,1/17/2017,004
Perić,Luka,54972480920,6326642226913,,Ulica kralja Držislava 68,Zaprešić,10290,"Fabkovićeva 62, 10360 Sesvete",+3851650833,+385918584060,Luka.Peric@yahoo.com,3738313218,BIJELI,,,,IDEAL,3/19/2017,002
Pranjić,Sara,43385807839,,885231292,Preradovićeva 42,Sesvete,10360,"Margaretska 58, 10250 Lučko",,+385991203459,Sara.Pranjic@yahoo.com,1995526405,BIJELI,,,,IDEAL,2/2/2017,003
Ivanković,Lana,65420234703,3751490482872,398850947,Medulićeva 57,Donji Dragonožec,10253,"Lepušićeva 46, 10360 Sesvete",+3851892503,+385919691776,,3130906157,BIJELI,,,,IDEAL,2/25/2017,005
Ilić,Ivano,96086154474,,,Ljudevita Posavskog 23,Belovar,10363,"Šubićeva 12, 10361 Sesvete-Kraljevec",,+38599619155,Ivano.Ilic@hotmail.com,5037457324,PLAVI,,,,IDEAL,1/11/2017,004
Franić,Ana,94088263234,,606764798,Zavrtnica 45,Zagreb-Novi Zagreb,10020,,+3851953513,,,9509886099,BIJELI,,,,KLASIK,2/21/2017,003
Novosel,Matej,06570487491,8546683452557,,Zavrtnica 74,Ivanja Reka,10373,"Šoštarićeva 39, 10020 Zagreb-Novi Zagreb",,+385917532119,,5558523277,BIJELI,,,,IDEAL,4/16/2017,002
Barić,Ana,04604272489,6629347591650,114890159,Draškovićeva 99,Donji Dragonožec,10253,,+3851535178,,Ana.Baric@yahoo.com,1142422258,BIJELI,,,,KLASIK,3/9/2017,003
Erceg,Jakov,19730662451,,546206595,Ulica kneza Višeslava 16,Sesvete-Kraljevec,10361,"Dalmatinska 14, 10020 Zagreb-Novi Zagreb",,+385915294735,Jakov.Erceg@gmail.com,8800139001,BIJELI,,,,IDEAL,3/31/2017,004
Vuković,Nika,57294399187,5988421364449,961760579,Pod zidom 38,Sesvete-Kraljevec,10361,,,+385992351063,,3086127611,BIJELI,Cesarčeva 28,10360,Sesvete,IDEAL,2/1/2017,003
Martinović,Petra,45863539207,3593402652576,887685492,Draškovićeva 54,Sesvete-Kraljevec,10361,,+3851190983,,,4067962077,BIJELI,"Karlovačka k.br. 1, 2 i 4 72",10257,Brezovica,IDEAL,3/25/2017,003
Dujmović,Jakov,94698742771,,576648046,Trg bana J. Jelačića 14,Brezovica,10257,,,+385915691029,Jakov.Dujmovic@gmail.com,5406389692,BIJELI,,,,KLASIK,4/5/2017,005
Novosel,Petra,37730142533,3325514942901,,Krajiška 82,Brezovica,10257,,+3851524165,,,7765536606,BIJELI,,,,IDEAL,1/2/2017,002
Pintarić,Nika,18250786132,3300602948192,518554450,Hebrangova 1,Sesvete,10360,"Makančeva 18, 10257 Brezovica",+3851491993,,Nika.Pintaric@hotmail.com,5086761287,BIJELI,,,,IDEAL,4/10/2017,005
Tadić,Luka,51306978187,,800602641,Cesarčeva 81,Brezovica,10257,"Sermageova 55, 10010 Zagreb-Sloboština",,+385998784749,,1888032817,BIJELI,,,,IDEAL,3/31/2017,004
Pintarić,Ivan,36693597532,3117784778683,250154964,Novakova 33,Zaprešić,10290,,+3851940425,,Ivan.Pintaric@yahoo.com,4378274736,BIJELI,,,,IDEAL,1/3/2017,001
Vuković,David,65749069077,9910445341564,770970551,Ulica baruna Trenka 63,Sesvete,10360,,,+385919414174,David.Vukovic@hotmail.com,9227149016,BIJELI,,,,IDEAL,1/28/2017,003
Orešković,Iva,05730533845,,152295419,Zvonimirova 88,Zagreb-Novi Zagreb,10020,"Žigrovićeva 23, 10253 Donji Dragonožec",+3851700711,,,4269663505,PLAVI,,,,IDEAL,2/23/2017,002
Jurišić,Jakov,73028741416,1535714766820,,Kumičićeva 86,Sesvete-Kraljevec,10361,,+3851786426,,,7521262099,BIJELI,,,,IDEAL,2/6/2017,003
Stanković,Ivan,81571436143,,,Teslina 55,Zagreb-Novi Zagreb,10020,,+3851483781,+385913342578,Ivan.Stankovic@yahoo.com,6276390506,BIJELI,,,,BONUS,2/13/2017,001
Bačić,Matej,91347971137,6881148983659,301392624,Martićeva 17,Sesvete-Kraljevec,10361,,+3851932181,+385912605675,Matej.Bacic@gmail.com,8693981912,BIJELI,,,,IDEAL,3/8/2017,001
Herceg,Jakov,35803696252,,982180348,Hebrangova 46,Sesvete,10360,,,+385919856023,,6638391207,BIJELI,,,,KLASIK,2/4/2017,001
Vidaković,Petra,35286519215,,939250014,Borisa Ulricha 93,Donji Dragonožec,10253,,,+385992822854,,6649930387,BIJELI,,,,IDEAL,4/12/2017,001
Bačić,Lana,63038449326,8026191428388,,Obrtnički prolaz 86,Sesvete-Kraljevec,10361,"Matice hrvatske 97, 10020 Zagreb-Novi Zagreb",+3851581795,+385919831778,,1429266422,BIJELI,,,,BONUS,3/4/2017,002
Martinović,Mia,48702751655,3004882724323,284473507,Zvonimirova 92,Zaprešić,10290,"Perkovčeva 50, 10373 Ivanja Reka",+3851407281,+385913849588,Mia.Martinovic@gmail.com,2592922696,BIJELI,,,,BONUS,4/24/2017,002
Bošnjak,Matej,83599395114,,596287971,Fabkovićeva 12,Brezovica,10257,,+3851701857,+385917388063,,1963290108,BIJELI,,,,KLASIK,3/28/2017,001
Varga,Petar,59733002249,9741389688006,613632496,Kumičićeva 75,Sesvete-Kraljevec,10361,"Marulićev trg 62, 10020 Zagreb-Novi Zagreb",,+38591199255,,7475863509,BIJELI,Rokova ulica 86,10257,Brezovica,BONUS,4/8/2017,003
Bačić,Ivano,45227631544,,,Ulica Bartola Kašića 81,Sesvete-Kraljevec,10361,,+3851789706,+385914925480,Ivano.Bacic@gmail.com,5723848369,BIJELI,,,,IDEAL,3/18/2017,004
Milošević,Nika,27390602131,5837902174843,,Klaićeva 65,Kašina,10362,,+3851927355,,,7932647532,PLAVI,,,,IDEAL,1/12/2017,002
Jukić,Iva,69931007087,1127212254207,,Klaićeva 97,Kašina,10362,"Heinzelova 95, 10361 Sesvete-Kraljevec",+3851695969,,,9265121648,BIJELI,,,,IDEAL,1/3/2017,005
Jurić,Petra,86400144838,1006791583119,871554812,Ulica Izidora Kršnjavog 20,Donji Dragonožec,10253,"Ivana Langa 52, 10362 Kašina",,+385913864534,,1496766516,BIJELI,,,,KLASIK,1/2/2017,005
Dujmović,David,51249557161,,,Heinzelova 93,Zagreb-Novi Zagreb,10020,,+3851452155,,,9090557036,BIJELI,,,,IDEAL,4/19/2017,004
Barić,Ivan,63806486904,9908475829176,,Ulica Izidora Kršnjavog 19,Belovar,10363,"Hebrangova 5, 10010 Zagreb-Sloboština",,+385918556120,,4612531609,PLAVI,,,,IDEAL,3/11/2017,002
Jurković,Luka,33719778604,,,Kružićeva 95,Sesvete,10360,,,+385992911741,Luka.Jurkovic@hotmail.com,5092194483,PLAVI,,,,IDEAL,1/8/2017,004
Ljubić,Leon,56227771432,,,Jurišićeva 18,Ivanja Reka,10373,,+3851942236,,,1850243829,PLAVI,,,,IDEAL,1/1/2017,003
Grgić,Lucija,66797587309,,,Vladimira Stahuljaka 4,Zagreb-Novi Zagreb,10020,"Ulica kralja Držislava 94, 10020 Zagreb-Novi Zagreb",,+385993545170,,2165017645,BIJELI,,,,IDEAL,1/14/2017,003
Tolić,Ema,67233069011,,,Ilica 70,Donji Dragonožec,10253,,+3851727800,+385919864208,Ema.Tolic@yahoo.com,3835213519,BIJELI,,,,KLASIK,2/28/2017,001
Filipović,Marko,36357061798,7322479071108,737419331,Harmica 4,Sesvete-Kraljevec,10361,,,+385914379115,Marko.Filipovic@yahoo.com,1855109673,BIJELI,Ulica Izidora Kršnjavog 41,10361,Sesvete-Kraljevec,BONUS,2/27/2017,002
Blažević,Iva,49723574059,7634611193239,,Račkoga 55,Donji Dragonožec,10253,,,+38599355794,,4897272300,PLAVI,,,,IDEAL,2/28/2017,003
Živković,Ana,56574649875,6860619595762,646518334,Jukićeva 9,Sesvete,10360,,+3851465637,,Ana.zivkovic@hotmail.com,1847989683,PLAVI,,,,IDEAL,3/11/2017,005
Erceg,David,92123622532,,932614026,Mrazovićeva 62,Zagreb-Sloboština,10010,,+3851598883,+38591489765,,9642066824,BIJELI,,,,BONUS,1/26/2017,004
Miletić,Lana,86090281595,,,Mikloušićeva 11,Donji Dragonožec,10253,,,+385917271552,,9749432424,PLAVI,Krvavi most 51,10360,Sesvete,IDEAL,3/25/2017,004
Jurković,Lucija,14513190943,,287360958,Tuškanova 72,Brezovica,10257,,,+385913859944,Lucija.Jurkovic@yahoo.com,8846129278,PLAVI,,,,BONUS,3/24/2017,001
Sertić,Luka,21361430217,1805348095185,,Borisa Papandopula 19,Donji Dragonožec,10253,,+3851447978,+385913241459,,1289635891,BIJELI,,,,IDEAL,4/8/2017,002
Brkić,Petra,01831573940,3795576489338,,Babukićeva 49,Belovar,10363,,,+385998704849,,7415509914,BIJELI,,,,IDEAL,1/21/2017,001
Knežević,Lana,20947563351,,111333096,Ulica kneza Mislava 26,Lučko,10250,"Vladimira Stahuljaka 67, 10373 Ivanja Reka",+3851920559,+385918312774,Lana.Knezevic@yahoo.com,1693072362,PLAVI,,,,IDEAL,1/11/2017,004
Turković,Filip,82952041010,,,Mladena Pozajića 94,Donji Dragonožec,10253,,+3851910601,,Filip.Turkovic@gmail.com,9264106520,BIJELI,,,,IDEAL,1/4/2017,001
Stanković,Nika,33012891924,5521328371339,419989715,Draškovićeva 97,Lučko,10250,,,+385995911322,,2514877412,BIJELI,,,,IDEAL,3/19/2017,004
Popović,Lana,46573775203,5152549741990,471272478,Trg hrvatskih velikana 9,Zagreb-Novi Zagreb,10020,,+3851172706,,Lana.Popovic@gmail.com,4266222352,BIJELI,,,,IDEAL,4/7/2017,004
Perić,Nika,98158461622,3808570377312,325761082,Borisa Papandopula 55,Sesvete,10360,"Tomislavov trg 65, 10360 Sesvete",+3851329269,,Nika.Peric@hotmail.com,4339173286,BIJELI,,,,BONUS,1/4/2017,005
Ivković,Jakov,76537593486,,192700402,Bogišićeva 41,Sesvete-Kraljevec,10361,"Rusanova 97, 10362 Kašina",+3851618900,+385912727842,,4417998870,BIJELI,,,,IDEAL,4/11/2017,003
Jerković,Marta,16267945922,,,Širolina 67,Donji Dragonožec,10253,,+3851994136,,,1671558216,PLAVI,,,,IDEAL,4/17/2017,001
Vlahović,Jakov,49472410518,8104427791563,,Draškovićeva 100,Kašina,10362,"Zvonimirova 17, 10257 Brezovica",+3851964698,,Jakov.Vlahovic@gmail.com,3536183799,BIJELI,,,,IDEAL,4/6/2017,004
Radić,Matej,68687128904,3719035853813,563131905,Ulica kneza Borne 4,Sesvete,10360,"Ilica 52, 10360 Sesvete",,+385995815517,Matej.Radic@yahoo.com,1850582722,PLAVI,,,,IDEAL,4/22/2017,001
Pavlić,David,91670630595,1617775934872,556946827,Biankinijeva 20,Sesvete-Kraljevec,10361,,+3851180980,+385911432177,David.Pavlic@gmail.com,6942408832,PLAVI,,,,IDEAL,3/17/2017,005
Bašić,Luka,77545220333,6164983531021,,Lepušićeva 12,Zagreb-Novi Zagreb,10020,,,+385918542877,Luka.Basic@gmail.com,2363713579,BIJELI,,,,KLASIK,4/6/2017,005
Tomić,Leon,42300681266,,,Martićeva 49,Sesvete-Kraljevec,10361,"Biankinijeva 24, 10361 Sesvete-Kraljevec",,+385914464486,Leon.Tomic@hotmail.com,7201179464,CRVENI,,,,IDEAL,4/4/2017,003
Jozić,Iva,02921781799,9002984885957,811010943,Ivana Brkanovića 40,Sesvete-Kraljevec,10361,"Heinzelova 16, 10363 Belovar",+3851739426,+385914503608,,7366352533,CRVENI,,,,IDEAL,2/13/2017,003
Vukelić,Lucija,14069400762,4127039655151,248702630,Skalinska 25,Donji Dragonožec,10253,,+3851576499,,Lucija.Vukelic@hotmail.com,6157829806,BIJELI,,,,KLASIK,2/13/2017,002
Jović,Jakov,93648790424,2868213495407,,Trg hrvatskih velikana 54,Kašina,10362,,,+385999162888,,2151898819,PLAVI,,,,IDEAL,4/20/2017,003
Vlahović,Filip,22722626436,,961352332,Bauerova 43,Kašina,10362,"Ladislava Šabana 33, 10250 Lučko",,+385991708459,Filip.Vlahovic@yahoo.com,6251395253,BIJELI,Tuškanova 2,10360,Sesvete,BONUS,3/14/2017,003
Milošević,Ivan,52197846355,,,Arnoldova 23,Kašina,10362,,+3851211156,+38591549867,,2214380171,BIJELI,Ulica Ante Kovačića 96,10290,Zaprešić,IDEAL,4/19/2017,003
